protein,a_p,b_p,abs_b_p,ddg_pcc,a_dg,designed,has_plddt,n_res,bfac_mean,bfac_std,bfac_all_zero,Rg,Rg_over_N13,asphericity,acylindricity,shape_aniso,hull_vol,hull_area,sphericity,vol_per_res,n_contacts,contact_density,CO_abs,RCO,LRO,frac_longrange,CO_heavy_abs,RCO_heavy,heavy_contact_density,SASA_total,SASA_per_res,SASA_over_N23,RSA_mean,frac_buried_rsa20,frac_buried_rsa05,frac_exposed_rsa50,mean_hydropathy,buried_hydrophobic_frac,exposed_hydrophobic_frac,hydrophobic_moment_proxy,depth_mean,depth_max,depth_p90,frac_deep_6A,frac_H,frac_E,frac_C,n_helix_seg,mean_helix_len,n_strand_seg,ss_order,n_hbond,hbond_per_res,hbond_lr_per_res,hbond_lr_frac,n_saltbridge,saltbridge_per_res,frac_charged,net_charge,net_charge_per_res,n_disulfide,n_cys,packing_frac,void_vol_per_res,ca_nb10_mean,ca_nb10_std,frac_core_nb10_gt20,frac_gly,frac_pro,frac_aromatic,frac_ILVFM
2KVS,0.1099333680505696,-4.1680230034,4.1680230034,0.278712633285791,0.10993336794944848,False,True,67,94.1376618705036,4.135269331835536,0,10.525764465332031,2.5915646460464234,0.0714177059107364,0.1122259497642517,0.014546507140332,10471.959652270398,2514.8828110898667,0.92041780675894,156.29790525776713,157,2.343283582089552,10.738853503184714,0.1602813955699211,0.582089552238806,0.2484076433121019,13.33846153846154,0.1990815154994259,3.880597014925373,4581.796894482593,68.3850282758596,277.7490816927417,0.2811974758673046,0.3880597014925373,0.1791044776119403,0.1343283582089552,-0.3477611940298508,0.2238805970149253,0.0149253731343283,0.4679808700729063,2.238778022324923,5.644640055666626,4.505308279031371,0.0,0.7014925373134329,0.0,0.2985074626865671,4,11.75,0,0.7014925373134329,112,1.671641791044776,0.0,0.0,1,0.0149253731343283,0.1940298507462686,-3.0,-0.044776119402985,0,0,0.989718684918426,1.60694801054513,14.71641791044776,4.206625797651873,0.1044776119402985,0.0298507462686567,0.0298507462686567,0.1343283582089552,0.3134328358208955
2KWH,0.5084984932817307,-0.46061567000000025,0.5405066300000002,0.7705718943502196,0.5084984923166587,False,True,52,89.36731818181818,6.562969088941124,0,12.359359741210938,3.311272015526913,0.7184884343741484,0.0866473764181137,0.5218565381096623,9807.410472087264,2561.6500066224485,0.8649690475225877,188.60404754013967,112,2.1538461538461537,8.8125,0.1694711538461538,0.4038461538461538,0.1875,10.548022598870055,0.2028465884398087,3.4038461538461537,4618.09456069246,88.8095107825473,331.4824898273396,0.3617111046053388,0.2115384615384615,0.0384615384615384,0.25,-0.875,0.1923076923076923,0.0576923076923076,0.5306283843430876,1.7817101500949954,4.492647676971975,2.8261472625416824,0.0,0.8653846153846154,0.0,0.1346153846153846,2,22.5,0,0.8653846153846154,100,1.9230769230769231,0.0,0.0,7,0.1346153846153846,0.4038461538461538,3.0,0.0576923076923076,0,0,0.8317263823760269,31.73708537810311,13.192307692307692,3.530299952054965,0.0,0.0576923076923076,0.0,0.0384615384615384,0.2884615384615384
2KXD,0.31791978512451313,-2.430324577,2.430324577,0.789030795660163,0.3179197843787599,False,True,71,88.8063309352518,6.390915105873482,0,11.074539184570312,2.6744811906087587,0.2514008222511691,0.0364948436617851,0.0642013141110641,11549.894768725077,2671.7873799149206,0.924842080323094,162.6745742073954,171,2.408450704225352,22.385964912280706,0.3152952804546577,1.4647887323943662,0.6081871345029239,22.93975903614458,0.3230951976921771,3.507042253521127,4856.231744896135,68.39763020980472,283.22212119122014,0.2702125894554255,0.352112676056338,0.2112676056338028,0.1549295774647887,-0.5408450704225352,0.2112676056338028,0.0,0.6047137538320049,2.022781709098384,5.514174295580505,4.598232456824164,0.0,0.0,0.6338028169014085,0.3661971830985915,0,0.0,8,0.6338028169014085,48,0.676056338028169,0.323943661971831,0.4791666666666667,2,0.028169014084507,0.2676056338028169,1.0,0.0140845070422535,0,0,0.8974686811318766,16.67923863979466,15.464788732394366,5.885841177250428,0.2394366197183098,0.0985915492957746,0.0704225352112676,0.0985915492957746,0.2394366197183098
2L33,0.6167633559874639,0.99413348,1.09402088,0.7855954284989081,0.6167633567571696,False,True,71,96.3554332129964,2.9925370308349675,0,11.942343711853027,2.884054414980604,0.4695181773966006,0.1408067494630813,0.235317165768802,10836.731352770712,2702.975236601004,0.8761415209637411,152.6300190531086,198,2.788732394366197,13.01010101010101,0.1832408592971973,1.1267605633802815,0.404040404040404,16.830882352941178,0.2370546810273405,3.8309859154929575,4737.30659791486,66.7226281396459,276.28624288878655,0.2532347090574201,0.4225352112676056,0.1971830985915492,0.0845070422535211,-0.5845070422535213,0.2816901408450704,0.0140845070422535,0.5768621821770162,2.072803600944233,5.4087714381454965,4.01796226769791,0.0,0.3380281690140845,0.3380281690140845,0.323943661971831,2,12.0,4,0.676056338028169,72,1.0140845070422535,0.1830985915492957,0.1805555555555555,6,0.0845070422535211,0.3098591549295774,4.0,0.056338028169014,0,0,0.9523922541216868,7.266371160482508,15.549295774647888,5.871364580681218,0.2535211267605634,0.0985915492957746,0.028169014084507,0.0704225352112676,0.2676056338028169
2LQK,0.47530269101311423,-0.43643893599999994,0.569618036,0.6185672823559931,0.47530268912082657,False,True,62,88.4282515991471,5.959993769102669,0,11.027081489562988,2.78609991809589,0.3598361521804097,0.051204178482294,0.1314485072497915,9528.14042647276,2442.050067483397,0.8900238820374331,153.67968429794772,154,2.4838709677419355,16.532467532467532,0.2666527021365731,1.2741935483870968,0.512987012987013,18.90232558139535,0.3048762190547637,3.467741935483871,4359.079005164299,70.30772588974676,278.27035839473854,0.2790561743583113,0.3709677419354839,0.1451612903225806,0.1451612903225806,-0.0999999999999999,0.2258064516129032,0.0161290322580645,0.4739304856030608,1.6826908840292274,5.07299975637443,3.858338065334363,0.0,0.064516129032258,0.6290322580645161,0.3064516129032258,1,4.0,7,0.6935483870967742,53,0.8548387096774194,0.3225806451612903,0.3773584905660377,3,0.0483870967741935,0.2096774193548387,5.0,0.0806451612903225,0,0,0.9174152563206488,12.69159733646962,14.903225806451612,5.126495619437144,0.1774193548387097,0.1129032258064516,0.0967741935483871,0.0967741935483871,0.2741935483870967
2WXC,0.8815666155668156,0.1783974900000001,0.58748305,0.8455861759053047,0.8815666140378964,False,True,44,82.71570570570572,9.374855796153676,0,9.530668258666992,2.6996396257273974,0.3289571690845748,0.1750883609056472,0.1312047711207958,7154.425284340029,2011.3801495246769,0.8927019151437213,162.60057464409158,88,2.0,8.409090909090908,0.1911157024793388,0.4318181818181818,0.2159090909090909,9.546153846153846,0.2169580419580419,2.9545454545454546,3789.7064412994296,86.12969184771431,304.06781423672504,0.3499263775620241,0.2727272727272727,0.1363636363636363,0.2727272727272727,-0.425,0.2045454545454545,0.0227272727272727,0.6678400416911058,1.4875026958280926,4.914058958986986,2.8078618083392857,0.0,0.4545454545454545,0.1363636363636363,0.4090909090909091,2,10.0,2,0.5909090909090908,54,1.2272727272727273,0.0227272727272727,0.0185185185185185,1,0.0227272727272727,0.2954545454545454,1.0,0.0227272727272727,0,0,0.8601085571111371,22.746429001520237,13.090909090909092,4.635917982146587,0.0681818181818181,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.2272727272727272
3DKM,0.30194196151225555,-0.3127129699999998,0.53380555,0.6343391113913783,0.30194195969925686,False,True,72,93.83219081272084,9.753240277315708,0,10.83572769165039,2.604637267875144,0.2661792820820455,0.0550690107047557,0.0731257962556537,10604.614316333298,2535.9210251685795,0.9204742677767368,147.2863099490736,197,2.736111111111111,18.85786802030457,0.2619148336153412,1.4861111111111112,0.5431472081218274,20.76173285198556,0.2883574007220216,3.8472222222222223,4551.836555787697,63.21995216371801,263.0055995797302,0.2498181170059131,0.4027777777777778,0.2222222222222222,0.0972222222222222,-0.7069444444444445,0.1666666666666666,0.0277777777777777,0.3373460992900537,1.7588145300545155,4.914834431622992,4.100573211888781,0.0,0.1111111111111111,0.4583333333333333,0.4305555555555556,1,8.0,6,0.5694444444444444,67,0.9305555555555556,0.2777777777777778,0.2985074626865671,7,0.0972222222222222,0.2361111111111111,-1.0,-0.0138888888888888,0,0,0.992925910516,1.041916536347925,15.833333333333334,5.038738819276992,0.2222222222222222,0.1666666666666666,0.0416666666666666,0.125,0.2083333333333333
4C26,0.358699467750919,-2.10399164,2.10399164,0.7692432149680382,0.35869946701296207,False,True,62,95.98902892561983,7.229806194548616,0,10.716424942016602,2.707609504971244,0.297618159460131,0.1542652249336242,0.1064248916098233,9142.236472753091,2381.3720335131206,0.8878886597608716,147.45542697988856,143,2.306451612903226,14.307692307692308,0.2307692307692307,0.9032258064516128,0.3916083916083916,16.286995515695068,0.2626934760595978,3.596774193548387,4317.911958305963,69.6437412629994,275.64237921157843,0.2888044938234702,0.3387096774193548,0.1451612903225806,0.2096774193548387,-0.4596774193548386,0.2096774193548387,0.0161290322580645,0.53548986087884,1.7851288072235938,4.887630814227763,3.830377702278479,0.0,0.3548387096774194,0.4354838709677419,0.2096774193548387,2,11.0,6,0.7903225806451613,66,1.064516129032258,0.1935483870967742,0.1818181818181818,1,0.0161290322580645,0.2580645161290322,6.0,0.0967741935483871,0,0,0.987381920601914,1.8606042853109044,14.483870967741936,4.222604056220373,0.0967741935483871,0.0806451612903225,0.0806451612903225,0.032258064516129,0.2903225806451613
6EWS,0.38323447787175724,-0.71454894,0.80805428,0.8027676138168633,0.38323447747686024,False,True,56,87.56300847457625,5.599754142599056,0,10.326818466186523,2.699213269977644,0.2834007717736235,0.0481555648148059,0.0820552673431824,9695.422768640725,2389.0349136228,0.9203919156515424,173.13254944001292,117,2.0892857142857144,10.188034188034187,0.1819291819291819,0.4821428571428571,0.2307692307692307,12.753768844221106,0.227745872218234,3.5535714285714284,4375.508598547964,78.13408211692793,298.93024423753985,0.3136576531021128,0.3035714285714285,0.1607142857142857,0.2321428571428571,-0.6732142857142858,0.2321428571428571,0.0,0.7307735426385975,2.110535108418589,4.883049863790976,3.1918625095223074,0.0,0.5714285714285714,0.2678571428571428,0.1607142857142857,2,16.0,3,0.8392857142857142,74,1.3214285714285714,0.0714285714285714,0.054054054054054,2,0.0357142857142857,0.2857142857142857,-6.0,-0.1071428571428571,0,0,0.903166912788592,16.76495925905819,13.321428571428571,4.179487079163897,0.0357142857142857,0.0178571428571428,0.0178571428571428,0.1071428571428571,0.2857142857142857
6EWT,0.3395440115165579,-0.9004003200000001,0.93605012,0.7930893243129697,0.3395440111957617,False,True,57,87.3857264957265,6.31809179055776,0,10.45424747467041,2.7164465120481958,0.2953625846569085,0.0592376887798309,0.0898708513635574,9962.827776825414,2447.916790391161,0.914694122735626,174.78645222500725,120,2.1052631578947367,10.35,0.181578947368421,0.4912280701754385,0.2333333333333333,12.880597014925373,0.2259753862267609,3.526315789473684,4514.893455650335,79.20865711667255,304.8346065204309,0.3272059984110142,0.2982456140350877,0.1403508771929824,0.2456140350877192,-0.6964912280701755,0.2280701754385964,0.0,0.7379730928886559,2.159131337398455,5.418270849707817,3.819583179593555,0.0,0.5789473684210527,0.2631578947368421,0.1578947368421052,2,16.5,3,0.8421052631578947,82,1.4385964912280702,0.0701754385964912,0.048780487804878,3,0.0526315789473684,0.2982456140350877,-1.0,-0.0175438596491228,0,0,0.8724305024343683,22.29741989162348,13.43859649122807,4.250975301341948,0.0526315789473684,0.0175438596491228,0.0175438596491228,0.0701754385964912,0.2807017543859649
6EWU,0.3597991435805209,-0.13006184000000007,0.6196794599999998,0.8052101020482647,0.35979914369355553,False,True,56,86.1984665226782,5.986900352786277,0,10.329045295715332,2.699795316406931,0.2872212619555701,0.0556047484278678,0.0848149646031073,9231.986336973896,2312.5813154946195,0.9202741309167696,164.85689887453387,115,2.0535714285714284,10.017391304347829,0.1788819875776397,0.4642857142857143,0.2260869565217391,13.375,0.2388392857142857,3.571428571428572,4278.660158276146,76.40464568350261,292.313658473296,0.3124796234151117,0.3035714285714285,0.1785714285714285,0.2142857142857142,-0.4517857142857143,0.2321428571428571,0.0,0.6976859421135798,2.0032872905406864,4.88218538739652,3.544318702639459,0.0,0.5714285714285714,0.2678571428571428,0.1607142857142857,2,16.0,3,0.8392857142857142,79,1.4107142857142858,0.0714285714285714,0.050632911392405,2,0.0357142857142857,0.2678571428571428,-5.0,-0.0892857142857142,0,0,0.9308893983471314,11.393359467845162,13.392857142857142,4.139006831477862,0.0535714285714285,0.0178571428571428,0.0178571428571428,0.0714285714285714,0.3214285714285714
HEEH_KT_rd6_0746,0.4128963721074994,0.1585708700000002,0.5427383500000001,0.7037793060426274,0.41289637482028885,True,False,43,0.0,0.0,1,9.668020248413086,2.759612262657324,0.2230311379641426,0.2395163774490356,0.0927689460491429,7220.329991835409,1960.3869678111453,0.9215389207447816,167.9146509729165,88,2.046511627906977,7.681818181818182,0.1786469344608879,0.3255813953488372,0.1590909090909091,9.792857142857144,0.2277408637873754,3.255813953488372,3741.9177527909706,87.02134308816211,304.87040458731485,0.3456390428709781,0.2790697674418604,0.0465116279069767,0.2093023255813953,-0.7069767441860464,0.2325581395348837,0.0,0.7401196904794517,1.890695694688896,5.131846669957112,3.4014945449607863,0.0,0.6046511627906976,0.2325581395348837,0.1627906976744186,2,13.0,2,0.8372093023255813,68,1.5813953488372092,0.0465116279069767,0.0294117647058823,5,0.1162790697674418,0.4651162790697674,-4.0,-0.0930232558139534,0,0,0.9516888617245228,8.112147921631076,12.186046511627907,3.538859453326002,0.0,0.0465116279069767,0.0,0.0930232558139534,0.3255813953488372
HEEH_KT_rd6_0793,0.09030280982076393,-1.6934461333999997,1.6934461333999997,0.3919277290936316,0.09030280975914262,True,False,43,0.0,0.0,1,9.194445610046388,2.6244364618479734,0.1824089471435603,0.0485077798366546,0.0350378151712986,6178.4833176778775,1807.0753543201452,0.9010781261541496,143.68565855064833,91,2.116279069767442,7.714285714285714,0.1794019933554817,0.2558139534883721,0.1208791208791208,9.867132867132868,0.2294682062123922,3.3255813953488373,3464.1435150503694,80.56147709419464,282.23892259369103,0.3138478265454829,0.2093023255813953,0.1162790697674418,0.1162790697674418,-1.1837209302325582,0.1627906976744186,0.0,0.6228029692315958,1.8980962187831063,4.848583588500695,3.9829905291111434,0.0,0.6046511627906976,0.2325581395348837,0.1627906976744186,2,13.0,2,0.8372093023255813,69,1.6046511627906976,0.0465116279069767,0.0289855072463768,6,0.1395348837209302,0.3953488372093023,-5.0,-0.1162790697674418,0,0,1.138363879958133,-19.880905211407207,12.883720930232558,3.8951926383122473,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.1395348837209302,0.2093023255813953
HHH_rd1_0142,0.23488090224120164,-1.6326487899999997,1.6326487899999997,0.7624602424199707,0.23488090344502338,True,False,43,0.0,0.0,1,8.36665153503418,2.3881532702882824,0.1981688263761022,0.1680749803781509,0.0604577123514924,5964.029593609102,1711.1527003823207,0.9294411233155536,138.69836264207214,113,2.627906976744186,7.946902654867257,0.1848116896480757,0.5581395348837209,0.2123893805309734,9.421686746987952,0.2191089941159988,3.86046511627907,3297.4717077871574,76.68538855318971,268.6594415172472,0.2873395757687053,0.3023255813953488,0.1860465116279069,0.1162790697674418,-1.432558139534884,0.2790697674418604,0.0,0.7838768775771128,1.99062933307372,4.489588789356759,4.015622345601992,0.0,0.813953488372093,0.0,0.1860465116279069,3,11.666666666666666,0,0.813953488372093,78,1.813953488372093,0.0,0.0,12,0.2790697674418604,0.5348837209302325,-1.0,-0.0232558139534883,0,0,1.1294670963720406,-17.9568742828254,16.0,4.988358540665713,0.1627906976744186,0.0465116279069767,0.0232558139534883,0.0465116279069767,0.1860465116279069
HHH_rd1_0244,0.25266495345677287,-0.018505269999999907,0.67743601,0.8072728675734957,0.2526649542771621,True,False,43,0.0,0.0,1,8.532157897949219,2.435394936825247,0.2092913127698603,0.1761656701564788,0.0670786265883768,5936.162817034064,1730.316365295386,0.9162819793398032,138.05029807055962,111,2.581395348837209,7.288288288288288,0.1694950764718206,0.4418604651162791,0.1711711711711711,9.140243902439025,0.2125638116846284,3.813953488372093,3336.2750077665623,77.58779087829215,271.8209160726995,0.2993252215313811,0.3023255813953488,0.1627906976744186,0.2093023255813953,-1.6162790697674423,0.2325581395348837,0.0,0.7844919231942443,1.860044503355588,4.847038867555582,4.195055937973452,0.0,0.813953488372093,0.0,0.1860465116279069,3,11.666666666666666,0,0.813953488372093,84,1.9534883720930232,0.0,0.0,9,0.2093023255813953,0.5348837209302325,3.0,0.0697674418604651,0,0,1.0881402398291766,-12.167786380428456,15.395348837209305,4.993668246162454,0.1860465116279069,0.0697674418604651,0.0232558139534883,0.0465116279069767,0.1162790697674418
