tag,n,np_,pooled,oracle,gain,a_p,r,grp
p3_a0_d1_s0_D1_uemb_seed42_e13,27189,27,0.2892463870018108,0.27205022492982,-0.017196162071990817,0.0214521601810347,0.21826924634047826,FACTORIAL D1 (dead)
gld_dg_coil_s42_e13,27189,27,0.2481923548760576,0.31902446455442884,0.07083210967837125,0.0956473826273046,0.371391612122779,GOLDEN arm
gld_dg_coil_s42_e14,27189,27,0.22120346665860857,0.2842854434119518,0.0630819767533432,0.0844691148104034,0.34782282590575675,GOLDEN arm
gld_dg_coil_s42_e4,27189,27,0.21626419374633196,0.2697410351551961,0.053476841408864134,0.05016533503306418,0.26041749844862194,GOLDEN arm
gld_dg_coil_s42_e12,27189,27,0.2129693359189426,0.2802304642234085,0.06726112830446593,0.08300578817144064,0.347007483675426,GOLDEN arm
p3_a0_d0_s0_D1_uemb_seed42_e9,27189,27,0.200614822590066,0.1751246857310409,-0.025490136859025098,0.009411323517074936,0.15928325807583707,FACTORIAL D1 (dead)
gld_dg_coil_s42_e8,27189,27,0.20016856003613376,0.26361173833832424,0.06344317830219048,0.06831199565461299,0.2970769201869673,GOLDEN arm
gld_dg_coil_s42_e0,27189,27,0.17576549596351554,0.22357691451660947,0.047811418553093926,0.026415473301670996,0.3194724780412064,GOLDEN arm
p3_a1_d1_s1_D1_uemb_seed42_e14,27189,27,0.150651263973958,0.19880127432715272,0.04815001035319472,0.024537790556851163,0.17494424280774262,FACTORIAL D1 (dead)
p3_a0_d0_s1_D1_uemb_seed42_e11,27189,27,0.14666237629184722,0.1421706825677935,-0.004491693724053725,0.006326207097065984,0.12937805121461918,FACTORIAL D1 (dead)
p3_a1_d0_s1_D1_uemb_seed42_e12,27189,27,0.10001214925710719,0.12083929573630435,0.02082714647919716,0.014201134909016635,0.12530247373347886,FACTORIAL D1 (dead)
p3_a1_d0_s0_D1_uemb_seed42_e14,27189,27,0.07603326238087586,0.15634795703980758,0.08031469465893172,0.0309126983217638,0.157421495129029,FACTORIAL D1 (dead)
p3_a1_d1_s0_D1_uemb_seed42_e12,27189,27,-0.07412484412840326,0.003902709142317096,0.07802755327072035,0.01593312630325904,0.13329827901665975,FACTORIAL D1 (dead)
