het_code,rank,occurrences,classification,counts_as_bound_ligand,note
CAS,205,79,modified_residue,no,
OXL,206,76,crystallization_additive,no,
8OG,207,76,modified_residue,no,
TAM,208,76,crystallization_additive,no,
ADN,209,75,substrate,yes,
TAR,210,75,crystallization_additive,no,
CYC,211,74,unknown,yes,
CGU,212,73,modified_residue,no,
HIC,213,73,modified_residue,no,
OEX,214,72,metal,yes,
U5P,215,70,substrate,yes,
DMU,216,70,crystallization_additive,no,
SRM,217,69,unknown,yes,
GSP,218,69,substrate,yes,
CLR,219,69,crystallization_additive,no,
MLT,220,69,crystallization_additive,no,
MTE,221,69,unknown,yes,
NO,222,69,unknown,yes,
SMC,223,68,unknown,yes,
GTX,224,68,unknown,yes,
ZBA,225,67,unknown,yes,
ABA,226,67,unknown,yes,
CHD,227,66,unknown,yes,
PT,228,66,unknown,yes,
OH,229,66,unknown,yes,
UMQ,230,66,unknown,yes,
B3P,231,66,unknown,yes,
GUN,232,66,unknown,yes,
ADE,233,65,unknown,yes,
HEA,234,65,unknown,yes,
MLZ,235,63,unknown,yes,
4SU,236,62,unknown,yes,
DOC,237,62,unknown,yes,
KDO,238,62,unknown,yes,
B12,239,62,unknown,yes,
OLA,240,61,unknown,yes,
AF3,241,61,unknown,yes,
0QE,242,61,unknown,yes,
LMU,243,60,unknown,yes,
NGA,244,60,unknown,yes,
FDA,245,59,unknown,yes,
CPS,246,59,unknown,yes,
HTG,247,59,unknown,yes,
XYS,248,59,unknown,yes,
PUT,249,59,unknown,yes,
STU,250,58,unknown,yes,
PG0,251,58,unknown,yes,
LI,252,57,unknown,yes,
CXS,253,57,unknown,yes,
BU3,254,57,unknown,yes,
MEN,255,57,unknown,yes,
DUP,256,56,unknown,yes,
PGV,257,56,unknown,yes,
NLE,258,56,unknown,yes,
UPG,259,55,unknown,yes,
FUM,260,55,unknown,yes,
CS,261,54,unknown,yes,
HTO,262,54,unknown,yes,
3DR,263,54,unknown,yes,
BNG,264,54,unknown,yes,
P33,265,53,unknown,yes,
15P,266,53,unknown,yes,
OGA,267,53,unknown,yes,
5IU,268,53,unknown,yes,
BTN,269,53,unknown,yes,
NRQ,270,53,unknown,yes,
CTP,271,53,unknown,yes,
C2E,272,52,unknown,yes,
NO2,273,52,unknown,yes,
MPO,274,52,unknown,yes,
PEP,275,51,unknown,yes,
TTP,276,51,unknown,yes,
TZD,277,50,unknown,yes,
APR,278,50,unknown,yes,
PER,279,50,unknown,yes,
YYG,280,49,unknown,yes,
UQ,281,48,unknown,yes,
LUT,282,48,unknown,yes,
O,283,48,unknown,yes,
3TD,284,48,unknown,yes,
SGN,285,47,unknown,yes,
1PG,286,47,unknown,yes,
APC,287,47,unknown,yes,
YCM,288,47,unknown,yes,
H4B,289,47,unknown,yes,
MEQ,290,47,unknown,yes,
C5P,291,46,unknown,yes,
SPO,292,46,unknown,yes,
MO,293,46,unknown,yes,
A3P,294,46,unknown,yes,
YT3,295,45,unknown,yes,
ORN,296,45,unknown,yes,
IHP,297,45,unknown,yes,
4D4,298,45,unknown,yes,
D2T,299,45,unknown,yes,
IDS,300,44,unknown,yes,
XE,301,44,unknown,yes,
DTU,302,44,unknown,yes,
MCN,303,44,unknown,yes,
7PH,304,44,unknown,yes,
SRT,305,44,unknown,yes,
AU,306,43,unknown,yes,
2MU,307,43,unknown,yes,
BA,308,43,unknown,yes,
NMY,309,43,unknown,yes,
PGA,310,43,unknown,yes,
FBP,311,42,unknown,yes,
PC1,312,42,unknown,yes,
FCO,313,42,unknown,yes,
BRU,314,42,unknown,yes,
TYD,315,41,unknown,yes,
CR2,316,41,unknown,yes,
PMP,317,41,unknown,yes,
LMR,318,40,unknown,yes,
RAM,319,40,unknown,yes,
BU1,320,40,unknown,yes,
WO4,321,40,unknown,yes,
OXM,322,40,unknown,yes,
AP5,323,40,unknown,yes,
G6P,324,40,unknown,yes,
UD1,325,39,unknown,yes,
PB,326,39,unknown,yes,
DPR,327,39,unknown,yes,
CL0,328,39,unknown,yes,
TRQ,329,39,unknown,yes,
MME,330,39,unknown,yes,
DGA,331,39,unknown,yes,
DAO,332,38,unknown,yes,
RIA,333,37,unknown,yes,
T6A,334,37,unknown,yes,
GDS,335,37,unknown,yes,
FEO,336,37,unknown,yes,
PG6,337,37,unknown,yes,
PE5,338,37,unknown,yes,
SGM,339,37,unknown,yes,
DHE,340,37,unknown,yes,
TP7,341,37,unknown,yes,
G3P,342,36,unknown,yes,
5CM,343,36,unknown,yes,
AC1,344,36,unknown,yes,
PHQ,345,36,unknown,yes,
DTP,346,36,unknown,yes,
CHL,347,36,unknown,yes,
PEK,348,36,unknown,yes,
PG5,349,35,unknown,yes,
GAI,350,35,unknown,yes,
30W,351,35,unknown,yes,
DCP,352,35,unknown,yes,
0G6,353,35,unknown,yes,
CAM,354,35,unknown,yes,
TMP,355,34,unknown,yes,
DXC,356,34,unknown,yes,
CRQ,357,34,unknown,yes,
VO4,358,34,unknown,yes,
AIB,359,34,unknown,yes,
DGT,360,34,unknown,yes,
RBF,361,34,unknown,yes,
H2S,362,34,unknown,yes,
OCT,363,34,unknown,yes,
MGD,364,34,unknown,yes,
SKM,365,34,unknown,yes,
SFG,366,33,unknown,yes,
MTX,367,33,unknown,yes,
BLA,368,33,unknown,yes,
UP6,369,33,unknown,yes,
BDP,370,33,unknown,yes,
BAL,371,33,unknown,yes,
IMP,372,33,unknown,yes,
COM,373,33,unknown,yes,
URA,374,32,unknown,yes,
PHB,375,32,unknown,yes,
TPQ,376,32,unknown,yes,
2PG,377,32,unknown,yes,
PRP,378,32,unknown,yes,
IPH,379,32,unknown,yes,
FGA,380,32,unknown,yes,
SPH,381,32,unknown,yes,
TBU,382,32,unknown,yes,
DSN,383,32,unknown,yes,
JZR,384,32,unknown,yes,
PC,385,31,unknown,yes,
LBV,386,31,unknown,yes,
MTN,387,31,unknown,yes,
MLE,388,31,unknown,yes,
CAA,389,31,unknown,yes,
34G,390,31,unknown,yes,
SAC,391,31,unknown,yes,
GL3,392,31,unknown,yes,
MHS,393,31,unknown,yes,
HAS,394,31,unknown,yes,
NEP,395,30,unknown,yes,
LFA,396,30,unknown,yes,
OPC,397,30,unknown,yes,
ARS,398,30,unknown,yes,
CP,399,30,unknown,yes,
UTP,400,30,unknown,yes,
