protein,true,length,E_f_C0,E_u_C0,dG_pred_C0,wt_err_C0,E_f_C1,E_u_C1,dG_pred_C1,wt_err_C1,E_f_C2,E_u_C2,dG_pred_C2,wt_err_C2,E_f_C3,E_u_C3,dG_pred_C3,wt_err_C3
2KVS,4.5071940422058105,67.0,1.1512418985366821,-0.028096873313188553,-1.1793387718498707,-5.686532814055681,1.1512418985366821,1.1401833295822144,-0.011058568954467773,-4.518252611160278,1.1512418985366821,0.5978033542633057,-0.5534385442733765,-5.060632586479187,1.1512418985366821,1.7157959938049316,0.5645540952682495,-3.942639946937561
2KWH,2.1352531909942627,52.0,0.3343490660190582,-1.06595778465271,-1.4003068506717682,-3.535560041666031,0.3343490660190582,0.9385936856269836,0.6042446196079254,-1.5310085713863373,0.3343490660190582,-0.2089572250843048,-0.543306291103363,-2.6785594820976257,0.3343490660190582,1.3442635536193848,1.0099144876003265,-1.1253387033939362
2KXD,4.057529449462891,71.0,1.833482265472412,-0.6487721800804138,-2.482254445552826,-6.5397838950157166,1.833482265472412,1.4212062358856201,-0.412276029586792,-4.469805479049683,1.833482265472412,0.15803776681423187,-1.6754444986581802,-5.732973948121071,1.833482265472412,1.905961513519287,0.072479248046875,-3.9850502014160156
2L33,2.7903709411621094,71.0,1.664625883102417,-0.4729378819465637,-2.1375637650489807,-4.92793470621109,1.664625883102417,0.8850462436676025,-0.7795796394348145,-3.569950580596924,1.664625883102417,-0.06657329201698303,-1.7311991751194,-4.521570116281509,1.664625883102417,1.7680648565292358,0.10343897342681885,-2.6869319677352905
2LQK,1.722111701965332,62.0,1.7510669231414795,-0.7940317988395691,-2.5450987219810486,-4.267210423946381,1.7510669231414795,1.1261799335479736,-0.6248869895935059,-2.346998691558838,1.7510669231414795,-0.4062075912952423,-2.157274514436722,-3.879386216402054,1.7510669231414795,1.608654260635376,-0.14241266250610352,-1.8645243644714355
2WXC,2.458575963973999,44.0,1.166717767715454,-0.5595431327819824,-1.7262609004974365,-4.1848368644714355,1.166717767715454,0.46422165632247925,-0.7024961113929749,-3.161072075366974,1.166717767715454,0.6905415058135986,-0.47617626190185547,-2.9347522258758545,1.166717767715454,1.1407296657562256,-0.025988101959228516,-2.4845640659332275
3DKM,3.115544319152832,72.0,1.9482823610305786,-0.038466304540634155,-1.9867486655712128,-5.102292984724045,1.9482823610305786,1.4510083198547363,-0.4972740411758423,-3.6128183603286743,1.9482823610305786,-0.0856921523809433,-2.033974513411522,-5.149518832564354,1.9482823610305786,1.8626364469528198,-0.08564591407775879,-3.201190233230591
4C26,4.426814079284668,62.0,1.1804986000061035,0.9196228981018066,-0.2608757019042969,-4.687689781188965,1.1804986000061035,0.9857288002967834,-0.19476979970932007,-4.621583878993988,1.1804986000061035,0.8515995740890503,-0.3288990259170532,-4.755713105201721,1.1804986000061035,1.6799837350845337,0.4994851350784302,-3.927328944206238
6EWS,3.5091700553894043,56.0,0.7759010791778564,-0.5287564396858215,-1.304657518863678,-4.813827574253082,0.7759010791778564,0.6187772154808044,-0.157123863697052,-3.6662939190864563,0.7759010791778564,0.7304175496101379,-0.045483529567718506,-3.554653584957123,0.7759010791778564,1.5025713443756104,0.7266702651977539,-2.7824997901916504
6EWT,4.167848110198975,57.0,0.594470739364624,-0.3578627109527588,-0.9523334503173828,-5.120181560516357,0.594470739364624,0.6779390573501587,0.08346831798553467,-4.08437979221344,0.594470739364624,0.8121135830879211,0.21764284372329712,-3.9502052664756775,0.594470739364624,1.5043848752975464,0.9099141359329224,-3.2579339742660522
6EWU,3.6854472160339355,56.0,0.8725364208221436,-0.2996602952480316,-1.1721967160701752,-4.857643932104111,0.8725364208221436,0.5888570547103882,-0.28367936611175537,-3.969126582145691,0.8725364208221436,0.7391728162765503,-0.13336360454559326,-3.818810820579529,0.8725364208221436,1.3834484815597534,0.5109120607376099,-3.1745351552963257
HEEH_KT_rd6_0746,2.1597065925598145,42.0,0.6180885434150696,-2.3147032260894775,-2.932791769504547,-5.092498362064362,0.6180885434150696,-0.2147362381219864,-0.832824781537056,-2.9925313740968704,0.6180885434150696,-1.5362917184829712,-2.1543802618980408,-4.314086854457855,0.6180885434150696,1.1432020664215088,0.5251135230064392,-1.6345930695533752
HEEH_KT_rd6_0793,2.996638298034668,42.0,0.820561945438385,-3.2678425312042236,-4.088404476642609,-7.085042774677277,0.820561945438385,-0.4283599257469177,-1.2489218711853027,-4.245560169219971,0.820561945438385,-2.6899166107177734,-3.5104785561561584,-6.507116854190826,0.820561945438385,1.0765997171401978,0.25603777170181274,-2.7406005263328552
HHH_rd1_0142,3.605520009994507,42.0,0.09992583841085434,-2.3059909343719482,-2.4059167727828026,-6.011436782777309,0.09992583841085434,-0.7732546329498291,-0.8731804713606834,-4.47870048135519,0.09992583841085434,-1.0431263446807861,-1.1430521830916405,-4.748572193086147,0.09992583841085434,1.0083180665969849,0.9083922281861305,-2.6971277818083763
HHH_rd1_0244,2.8478260040283203,42.0,0.7333750128746033,-1.3026682138442993,-2.0360432267189026,-4.883869230747223,0.7333750128746033,-0.656705379486084,-1.3900803923606873,-4.237906396389008,0.7333750128746033,-0.8739739656448364,-1.6073489785194397,-4.45517498254776,0.7333750128746033,1.0629149675369263,0.329539954662323,-2.5182860493659973
r11_1081_TrROS_Hall,4.678226947784424,49.0,1.0596610307693481,-0.23523955047130585,-1.294900581240654,-5.973127529025078,1.0596610307693481,0.3261459767818451,-0.733515053987503,-5.411742001771927,1.0596610307693481,0.6843222975730896,-0.37533873319625854,-5.053565680980682,1.0596610307693481,1.2707194089889526,0.2110583782196045,-4.467168569564819
r12_757_TrROS_Hall,1.421102523803711,54.0,1.1552867889404297,0.16730976104736328,-0.9879770278930664,-2.4090795516967773,1.1552867889404297,0.540584146976471,-0.6147026419639587,-2.0358051657676697,1.1552867889404297,0.6818630695343018,-0.47342371940612793,-1.8945262432098389,1.1552867889404297,1.3489243984222412,0.19363760948181152,-1.2274649143218994
r18_3_TrROS_Hall,3.128411054611206,52.0,0.9371739029884338,-1.2376203536987305,-2.1747942566871643,-5.30320531129837,0.9371739029884338,-0.03134499490261078,-0.9685188978910446,-4.096929952502251,0.9371739029884338,0.47197896242141724,-0.4651949405670166,-3.5936059951782227,0.9371739029884338,1.2715332508087158,0.334359347820282,-2.794051706790924
