protein,deltaG,pred_deltaG,ddG,pred_ddG
HEEH_KT_rd6_0793,0.5989793,-2.0095553,-2.397659,-0.10925913
HEEH_KT_rd6_0793,0.82130814,-1.9484172,-2.1753302,-0.048120975
HEEH_KT_rd6_0793,0.62647754,-1.9953074,-2.3701608,-0.095011234
HEEH_KT_rd6_0793,1.229608,-1.9171567,-1.7670302,-0.016860485
HEEH_KT_rd6_0793,0.870806,-1.9039288,-2.1258323,-0.0036325455
HEEH_KT_rd6_0793,0.83513343,-1.9267483,-2.1615047,-0.026452065
HEEH_KT_rd6_0793,0.36886117,-1.9144349,-2.627777,-0.014138699
HEEH_KT_rd6_0793,2.0593665,-1.9107547,-0.93727183,-0.010458469
HEEH_KT_rd6_0793,3.1846256,-1.9257033,0.18798733,-0.025407076
HEEH_KT_rd6_0793,2.3725972,-1.8903961,-0.6240411,0.009900093
HEEH_KT_rd6_0793,1.4603518,-1.9123273,-1.5362865,-0.012031078
HEEH_KT_rd6_0793,1.166397,-1.9204197,-1.8302413,-0.020123482
HEEH_KT_rd6_0793,1.3278264,-1.9221349,-1.6688119,-0.021838665
HEEH_KT_rd6_0793,1.2467042,-1.9220176,-1.7499341,-0.021721363
HEEH_KT_rd6_0793,1.2166538,-1.9694476,-1.7799845,-0.0691514
HEEH_KT_rd6_0793,1.3852304,-1.9302893,-1.6114079,-0.029993057
HEEH_KT_rd6_0793,1.4748157,-1.8536601,-1.5218226,0.046636105
HEEH_KT_rd6_0793,1.0659883,-1.9549117,-1.93065,-0.054615498
HEEH_KT_rd6_0793,1.7117873,-1.9460974,-1.284851,-0.045801163
HEEH_KT_rd6_0793,1.2448171,-1.9034872,-1.7518212,-0.0031909943
HEEH_KT_rd6_0793,1.0134306,-1.8546782,-1.9832077,0.045618057
HEEH_KT_rd6_0793,1.3118813,-1.9538054,-1.684757,-0.053509235
HEEH_KT_rd6_0793,0.6525284,-1.8899946,-2.34411,0.01030159
HEEH_KT_rd6_0793,1.5493937,-1.9189816,-1.4472446,-0.01868534
HEEH_KT_rd6_0793,1.65893,-1.935545,-1.3377084,-0.035248756
HEEH_KT_rd6_0793,1.2374507,-1.9601264,-1.7591876,-0.05983019
HEEH_KT_rd6_0793,1.3956989,-1.9518728,-1.6009394,-0.051576614
HEEH_KT_rd6_0793,1.6941392,-1.8922172,-1.302499,0.008079052
HEEH_KT_rd6_0793,1.8021728,-1.8997965,-1.1944655,0.00049972534
HEEH_KT_rd6_0793,1.7584001,-1.8922057,-1.2382382,0.008090496
HEEH_KT_rd6_0793,0.45326844,-1.8552074,-2.5433698,0.045088768
HEEH_KT_rd6_0793,2.6849308,-1.757494,-0.3117075,0.14280224
HEEH_KT_rd6_0793,1.5857339,-1.9417729,-1.4109044,-0.041476727
HEEH_KT_rd6_0793,0.752879,-1.9947829,-2.2437592,-0.09448671
HEEH_KT_rd6_0793,0.8987148,-1.9723959,-2.0979235,-0.072099686
HEEH_KT_rd6_0793,1.0447901,-1.9557505,-1.9518481,-0.055454254
HEEH_KT_rd6_0793,0.35340345,-1.9845114,-2.6432347,-0.084215164
HEEH_KT_rd6_0793,2.0175009,-1.9045687,-0.9791374,-0.004272461
HEEH_KT_rd6_0793,1.5574763,-1.9747486,-1.439162,-0.0744524
HEEH_KT_rd6_0793,0.10331615,-1.9936123,-2.8933222,-0.09331608
HEEH_KT_rd6_0793,1.0413013,-1.9466386,-1.955337,-0.046342373
HEEH_KT_rd6_0793,1.9094844,-1.9472013,-1.0871539,-0.04690504
HEEH_KT_rd6_0793,0.5052443,-1.9448786,-2.491394,-0.044582367
HEEH_KT_rd6_0793,1.5811316,-1.9296365,-1.4155067,-0.029340267
HEEH_KT_rd6_0793,0.43074667,-1.9481969,-2.5658917,-0.047900677
HEEH_KT_rd6_0793,0.513907,-1.9474592,-2.4827313,-0.04716301
HEEH_KT_rd6_0793,0.8515805,-1.948586,-2.1450577,-0.048289776
HEEH_KT_rd6_0793,0.93306935,-1.9178352,-2.063569,-0.017539024
HEEH_KT_rd6_0793,0.9601069,-1.9393945,-2.0365314,-0.039098263
HEEH_KT_rd6_0793,-0.96159565,-1.9138298,-3.9582338,-0.013533592
HEEH_KT_rd6_0793,2.1803584,-1.9027262,-0.8162799,-0.0024299622
HEEH_KT_rd6_0793,0.005872955,-1.9989457,-2.9907653,-0.0986495
HEEH_KT_rd6_0793,-0.22823903,-1.9759045,-3.2248774,-0.07560825
HEEH_KT_rd6_0793,-0.5127063,-2.0116673,-3.5093446,-0.11137104
HEEH_KT_rd6_0793,-0.11869664,-1.9768705,-3.115335,-0.076574326
HEEH_KT_rd6_0793,-0.14639084,-1.9801102,-3.1430292,-0.07981396
HEEH_KT_rd6_0793,0.032783825,-1.9653921,-2.9638546,-0.0650959
HEEH_KT_rd6_0793,-0.55294615,-1.9811244,-3.5495844,-0.08082819
HEEH_KT_rd6_0793,-0.49910882,-1.9614482,-3.495747,-0.06115198
HEEH_KT_rd6_0793,-0.020426938,-1.9466653,-3.0170653,-0.046369076
HEEH_KT_rd6_0793,0.11466528,-1.9413142,-2.881973,-0.04101801
HEEH_KT_rd6_0793,-0.12332928,-1.9565773,-3.1199675,-0.05628109
HEEH_KT_rd6_0793,0.2805709,-1.9279518,-2.7160673,-0.027655602
HEEH_KT_rd6_0793,0.35099116,-1.8756847,-2.645647,0.024611473
HEEH_KT_rd6_0793,0.15636711,-1.923975,-2.8402712,-0.02367878
HEEH_KT_rd6_0793,-0.121843785,-1.878478,-3.118482,0.021818161
HEEH_KT_rd6_0793,0.355573,-1.9122434,-2.6410654,-0.011947155
HEEH_KT_rd6_0793,0.39096865,-1.879592,-2.6056697,0.02070427
HEEH_KT_rd6_0793,-0.5567179,-1.8505716,-3.5533562,0.04972458
HEEH_KT_rd6_0793,1.1907189,-1.8966684,-1.8059194,0.003627777
HEEH_KT_rd6_0793,1.7883189,-1.9138508,-1.2083194,-0.013554573
HEEH_KT_rd6_0793,1.4644518,-1.9334636,-1.5321865,-0.033167362
HEEH_KT_rd6_0793,1.5114024,-1.8458953,-1.4852359,0.05440092
HEEH_KT_rd6_0793,1.9636421,-1.8954253,-1.0329962,0.0048708916
HEEH_KT_rd6_0793,1.1606077,-1.9135189,-1.8360306,-0.013222694
HEEH_KT_rd6_0793,1.9676348,-1.9018602,-1.0290035,-0.0015640259
HEEH_KT_rd6_0793,1.0505521,-1.8859577,-1.9460862,0.014338493
HEEH_KT_rd6_0793,0.99492615,-1.8973985,-2.001712,0.0028977394
HEEH_KT_rd6_0793,1.5909836,-1.9566474,-1.4056547,-0.056351185
HEEH_KT_rd6_0793,1.3090149,-1.9096236,-1.6876234,-0.009327412
HEEH_KT_rd6_0793,1.46557,-1.9008317,-1.5310683,-0.0005354881
HEEH_KT_rd6_0793,1.7194743,-1.8766444,-1.277164,0.023651838
HEEH_KT_rd6_0793,1.1322645,-1.9042425,-1.8643738,-0.0039463043
HEEH_KT_rd6_0793,1.3785013,-1.8713026,-1.618137,0.028993607
HEEH_KT_rd6_0793,1.9700078,-1.8948011,-1.0266305,0.0054950714
HEEH_KT_rd6_0793,1.8610497,-1.8866425,-1.1355886,0.013653755
HEEH_KT_rd6_0793,1.5344768,-1.8445725,-1.4621615,0.055723667
HEEH_KT_rd6_0793,0.13301562,-1.8808813,-2.8636227,0.019414902
HEEH_KT_rd6_0793,1.5241364,-1.8352003,-1.4725019,0.0650959
HEEH_KT_rd6_0793,1.3346426,-1.8183565,-1.6619956,0.0819397
HEEH_KT_rd6_0793,1.4995998,-1.7735286,-1.4970385,0.12676764
HEEH_KT_rd6_0793,1.7171721,-1.8892288,-1.2794662,0.01106739
HEEH_KT_rd6_0793,1.2965833,-1.8186765,-1.700055,0.08161974
HEEH_KT_rd6_0793,1.2975322,-1.8514762,-1.6991061,0.04882002
HEEH_KT_rd6_0793,0.8943837,-1.775363,-2.1022546,0.12493324
HEEH_KT_rd6_0793,0.82175475,-1.7791262,-2.1748836,0.121170044
HEEH_KT_rd6_0793,1.2378134,-1.7740474,-1.758825,0.12624884
HEEH_KT_rd6_0793,0.084265135,-1.7856021,-2.912373,0.11469412
HEEH_KT_rd6_0793,1.4049762,-1.8891864,-1.591662,0.011109829
HEEH_KT_rd6_0793,1.754037,-1.8102093,-1.2426013,0.09008694
HEEH_KT_rd6_0793,1.090435,-1.8896923,-1.9062033,0.010603905
HEEH_KT_rd6_0793,1.6248043,-1.886354,-1.371834,0.013942242
HEEH_KT_rd6_0793,2.033543,-1.7214277,-0.9630952,0.17886853
HEEH_KT_rd6_0793,1.6432889,-1.6764424,-1.3533494,0.22385383
HEEH_KT_rd6_0793,1.470481,-1.8200693,-1.5261573,0.0802269
HEEH_KT_rd6_0793,-0.079519786,-1.8672652,-3.076158,0.033030987
HEEH_KT_rd6_0793,2.2444017,-1.8527255,-0.7522366,0.047570705
HEEH_KT_rd6_0793,0.19939801,-1.9908409,-2.7972403,-0.0905447
HEEH_KT_rd6_0793,-0.5456265,-2.0314865,-3.542265,-0.1311903
HEEH_KT_rd6_0793,-0.21843459,-2.021027,-3.2150729,-0.12073088
HEEH_KT_rd6_0793,0.9588516,-1.9457555,-2.0377867,-0.04545927
HEEH_KT_rd6_0793,0.1547166,-1.985918,-2.8419218,-0.085621834
HEEH_KT_rd6_0793,0.32686976,-1.9845643,-2.6697686,-0.08426809
HEEH_KT_rd6_0793,0.324488,-1.90904,-2.6721504,-0.008743763
HEEH_KT_rd6_0793,1.0892266,-1.9149795,-1.9074117,-0.014683247
HEEH_KT_rd6_0793,-0.24907695,-1.902914,-3.2457151,-0.002617836
HEEH_KT_rd6_0793,0.52810127,-1.9420619,-2.468537,-0.04176569
HEEH_KT_rd6_0793,0.5918161,-1.9052477,-2.404822,-0.004951477
HEEH_KT_rd6_0793,0.289777,-1.9343338,-2.7068613,-0.03403759
HEEH_KT_rd6_0793,0.3397657,-1.921865,-2.6568725,-0.021568775
HEEH_KT_rd6_0793,0.88364583,-1.9658804,-2.1129925,-0.06558418
HEEH_KT_rd6_0793,0.8730464,-1.947597,-2.123592,-0.047300816
HEEH_KT_rd6_0793,0.82168776,-1.8992224,-2.1749506,0.0010738373
HEEH_KT_rd6_0793,-0.7010858,-1.8708239,-3.697724,0.029472351
HEEH_KT_rd6_0793,1.6936,-1.9365139,-1.3030382,-0.03621769
HEEH_KT_rd6_0793,0.7361855,-1.9436069,-2.2604527,-0.043310642
HEEH_KT_rd6_0793,0.78426874,-1.962626,-2.2123694,-0.06232977
HEEH_KT_rd6_0793,0.91048074,-1.9506707,-2.0861576,-0.050374508
HEEH_KT_rd6_0793,-0.062956385,-1.9749641,-3.0595946,-0.07466793
HEEH_KT_rd6_0793,1.4887745,-1.9164376,-1.5078638,-0.016141415
HEEH_KT_rd6_0793,2.3074532,-1.9220395,-0.68918514,-0.021743298
HEEH_KT_rd6_0793,1.1692694,-1.9319558,-1.8273689,-0.031659603
HEEH_KT_rd6_0793,1.1284088,-1.901958,-1.8682295,-0.0016617775
HEEH_KT_rd6_0793,0.92956436,-1.8915286,-2.0670738,0.008767605
HEEH_KT_rd6_0793,0.005370268,-1.9515381,-2.991268,-0.051241875
HEEH_KT_rd6_0793,1.4213867,-1.9493895,-1.5752516,-0.049093246
HEEH_KT_rd6_0793,1.57379,-1.8626223,-1.4228483,0.03767395
HEEH_KT_rd6_0793,1.6176366,-1.9170156,-1.3790017,-0.016719341
HEEH_KT_rd6_0793,1.0354179,-1.8965554,-1.9612204,0.0037407875
HEEH_KT_rd6_0793,0.9170462,-1.9203825,-2.0795922,-0.020086288
HEEH_KT_rd6_0793,0.85037434,-1.886106,-2.146264,0.014190197
HEEH_KT_rd6_0793,2.0053682,-1.9253144,-0.99127007,-0.025018215
HEEH_KT_rd6_0793,1.930042,-1.9471769,-1.0665963,-0.046880722
HEEH_KT_rd6_0793,1.5500115,-1.9090447,-1.4466268,-0.008748531
HEEH_KT_rd6_0793,1.5225616,-1.9281673,-1.4740767,-0.027871132
HEEH_KT_rd6_0793,1.3395427,-1.9293389,-1.6570956,-0.02904272
HEEH_KT_rd6_0793,2.4090858,-1.9273796,-0.58755255,-0.027083397
HEEH_KT_rd6_0793,1.7363423,-1.9054699,-1.260296,-0.005173683
HEEH_KT_rd6_0793,1.7783253,-1.892643,-1.218313,0.0076532364
HEEH_KT_rd6_0793,2.3233566,-1.8963094,-0.67328167,0.0039868355
HEEH_KT_rd6_0793,1.0626506,-1.9457169,-1.9339877,-0.045420647
HEEH_KT_rd6_0793,2.2180681,-1.9262376,-0.7785702,-0.025941372
HEEH_KT_rd6_0793,2.494111,-1.8748465,-0.50252724,0.025449753
HEEH_KT_rd6_0793,1.7879673,-1.8809347,-1.208671,0.019361496
HEEH_KT_rd6_0793,2.0142586,-1.9156995,-0.9823797,-0.015403271
HEEH_KT_rd6_0793,1.7107128,-1.8023751,-1.2859255,0.09792113
HEEH_KT_rd6_0793,1.923941,-1.8306975,-1.0726973,0.069598675
HEEH_KT_rd6_0793,2.040489,-1.8277984,-0.95614934,0.072497845
HEEH_KT_rd6_0793,-0.17852217,-2.0314598,-3.1751604,-0.1311636
HEEH_KT_rd6_0793,2.4146714,-1.9100161,-0.5819669,-0.009719849
HEEH_KT_rd6_0793,2.3827183,-1.8912315,-0.61392,0.009064674
HEEH_KT_rd6_0793,1.7995895,-1.9372592,-1.1970488,-0.036962986
HEEH_KT_rd6_0793,2.533807,-1.8745766,-0.46283126,0.025719643
HEEH_KT_rd6_0793,1.730006,-1.9607568,-1.2666323,-0.060460567
HEEH_KT_rd6_0793,2.3285608,-1.9209924,-0.66807747,-0.020696163
HEEH_KT_rd6_0793,2.580572,-1.9377017,-0.4160664,-0.03740549
HEEH_KT_rd6_0793,2.5837219,-1.8850536,-0.41291642,0.015242577
HEEH_KT_rd6_0793,2.1411273,-1.9110222,-0.85551095,-0.010725975
HEEH_KT_rd6_0793,2.2528605,-1.9218578,-0.74377775,-0.021561623
HEEH_KT_rd6_0793,1.6074513,-1.9695358,-1.389187,-0.06923962
HEEH_KT_rd6_0793,2.5646338,-1.923562,-0.43200445,-0.023265839
HEEH_KT_rd6_0793,2.9459465,-1.8691065,-0.050691843,0.03118968
HEEH_KT_rd6_0793,1.8925251,-1.9082651,-1.1041132,-0.007968903
HEEH_KT_rd6_0793,1.9761845,-1.9164109,-1.0204538,-0.016114712
HEEH_KT_rd6_0793,1.9288757,-1.8744886,-1.0677626,0.02580762
HEEH_KT_rd6_0793,2.1062002,-1.8421559,-0.8904381,0.058140278
HEEH_KT_rd6_0793,2.112963,-1.8311968,-0.88367534,0.069099426
HEEH_KT_rd6_0793,-0.4477721,-1.959454,-3.4444103,-0.05915785
HEEH_KT_rd6_0793,1.8530841,-1.9288731,-1.1435542,-0.02857685
HEEH_KT_rd6_0793,0.9773324,-1.9542193,-2.019306,-0.05392313
HEEH_KT_rd6_0793,1.6042566,-1.9173017,-1.3923817,-0.017005444
HEEH_KT_rd6_0793,1.160778,-1.9126444,-1.8358603,-0.012348175
HEEH_KT_rd6_0793,1.7086893,-1.8584948,-1.287949,0.041801453
HEEH_KT_rd6_0793,1.83663,-1.9194393,-1.1600083,-0.019143105
HEEH_KT_rd6_0793,0.9734957,-1.9486718,-2.0231426,-0.048375607
HEEH_KT_rd6_0793,1.4986714,-1.9517899,-1.4979669,-0.051493645
HEEH_KT_rd6_0793,1.5373763,-1.9435635,-1.459262,-0.04326725
HEEH_KT_rd6_0793,2.2277157,-1.86197,-0.76892257,0.038326263
HEEH_KT_rd6_0793,1.6454136,-1.9734619,-1.3512247,-0.073165655
HEEH_KT_rd6_0793,1.4292831,-1.9131665,-1.5673552,-0.012870312
HEEH_KT_rd6_0793,0.7825496,-1.9452538,-2.2140887,-0.044957638
HEEH_KT_rd6_0793,0.7623954,-1.956183,-2.234243,-0.055886745
HEEH_KT_rd6_0793,1.6381922,-1.8714595,-1.3584461,0.028836727
HEEH_KT_rd6_0793,1.1615388,-1.9000368,-1.8350995,0.0002593994
HEEH_KT_rd6_0793,1.4061425,-1.8949034,-1.5904958,0.00539279
HEEH_KT_rd6_0793,-0.3652102,-1.9480138,-3.3618486,-0.04771757
HEEH_KT_rd6_0793,1.9089361,-1.8067937,-1.0877022,0.09350252
HEEH_KT_rd6_0793,1.7149799,-1.966919,-1.2816584,-0.066622734
HEEH_KT_rd6_0793,1.5039531,-1.9512601,-1.4926852,-0.05096388
HEEH_KT_rd6_0793,1.7599188,-1.9647617,-1.2367195,-0.06446552
HEEH_KT_rd6_0793,0.8975334,-1.9756618,-2.099105,-0.07536554
HEEH_KT_rd6_0793,2.26585,-1.9777174,-0.73078823,-0.07742119
HEEH_KT_rd6_0793,2.3215585,-1.9596033,-0.6750798,-0.0593071
HEEH_KT_rd6_0793,2.1075397,-1.8899131,-0.88909864,0.010383129
HEEH_KT_rd6_0793,1.6654695,-1.9137723,-1.3311688,-0.013476133
HEEH_KT_rd6_0793,1.7937826,-1.873833,-1.2028557,0.02646327
HEEH_KT_rd6_0793,0.9419066,-1.9633183,-2.0547318,-0.06302214
HEEH_KT_rd6_0793,2.2144752,-1.8680458,-0.78216314,0.032250404
HEEH_KT_rd6_0793,2.085329,-1.8886616,-0.91130924,0.011634588
HEEH_KT_rd6_0793,2.129462,-1.8551545,-0.8671763,0.045141697
HEEH_KT_rd6_0793,2.0975325,-1.8586798,-0.8991058,0.04161644
HEEH_KT_rd6_0793,1.9654349,-1.8955808,-1.0312034,0.0047154427
HEEH_KT_rd6_0793,2.0946786,-1.9400744,-0.90195966,-0.039778233
HEEH_KT_rd6_0793,1.9927415,-1.8842173,-1.0038968,0.016078949
HEEH_KT_rd6_0793,0.18098997,-1.9006381,-2.8156483,-0.00034189224
HEEH_KT_rd6_0793,2.78325,-1.7286901,-0.2133882,0.17160606
HEEH_KT_rd6_0793,0.90652317,-1.8936582,-2.090115,0.00663805
HEEH_KT_rd6_0793,0.5527242,-1.9369607,-2.4439142,-0.036664486
HEEH_KT_rd6_0793,0.87123907,-1.9164944,-2.125399,-0.016198158
HEEH_KT_rd6_0793,0.9828708,-1.9010315,-2.0137675,-0.0007352829
HEEH_KT_rd6_0793,0.1237827,-1.9578176,-2.8728557,-0.057521343
HEEH_KT_rd6_0793,1.3882651,-1.9105773,-1.6083732,-0.010281086
HEEH_KT_rd6_0793,1.6453109,-1.9296408,-1.3513274,-0.029344559
HEEH_KT_rd6_0793,1.4099513,-1.9080691,-1.586687,-0.0077729225
HEEH_KT_rd6_0793,1.8529506,-1.8606396,-1.1436877,0.03965664
HEEH_KT_rd6_0793,0.91675824,-1.9433084,-2.07988,-0.043012142
HEEH_KT_rd6_0793,1.665619,-1.8635371,-1.3310193,0.036759138
HEEH_KT_rd6_0793,1.5490016,-1.866255,-1.4476367,0.034041166
HEEH_KT_rd6_0793,2.3250034,-1.8671625,-0.6716349,0.033133745
HEEH_KT_rd6_0793,2.3369062,-1.8802438,-0.6597321,0.020052433
HEEH_KT_rd6_0793,1.4717509,-1.944756,-1.5248874,-0.04445982
HEEH_KT_rd6_0793,0.9787643,-1.9301796,-2.017874,-0.029883385
HEEH_KT_rd6_0793,1.1594725,-1.8784974,-1.8371658,0.02179885
HEEH_KT_rd6_0793,1.9773239,-1.9156313,-1.0193144,-0.015335083
HEEH_KT_rd6_0793,0.0017860822,-1.8956923,-2.9948523,0.0046038628
HEEH_KT_rd6_0793,-0.34445724,-1.8946481,-3.3410954,0.005648136
HEEH_KT_rd6_0793,-0.124596626,-1.9507937,-3.121235,-0.050497532
HEEH_KT_rd6_0793,0.06779436,-1.9625769,-2.928844,-0.062280655
HEEH_KT_rd6_0793,-0.86890006,-1.9550285,-3.8655384,-0.054732323
HEEH_KT_rd6_0793,-0.25718418,-1.9311547,-3.2538226,-0.030858517
HEEH_KT_rd6_0793,-0.15754198,-1.9962606,-3.1541803,-0.09596443
HEEH_KT_rd6_0793,0.14291756,-1.9449635,-2.8537207,-0.044667244
HEEH_KT_rd6_0793,-0.43600646,-1.921649,-3.4326448,-0.021352768
HEEH_KT_rd6_0793,0.4486359,-1.9199777,-2.5480025,-0.019681454
HEEH_KT_rd6_0793,-0.16412131,-1.9105682,-3.1607597,-0.010272026
HEEH_KT_rd6_0793,1.426328,-1.9254761,-1.5703104,-0.025179863
HEEH_KT_rd6_0793,1.043287,-1.9306769,-1.9533513,-0.030380726
HEEH_KT_rd6_0793,1.0829976,-1.9331412,-1.9136407,-0.03284502
HEEH_KT_rd6_0793,0.21615332,-1.9426866,-2.780485,-0.042390347
HEEH_KT_rd6_0793,0.26016018,-1.9343238,-2.736478,-0.034027576
HEEH_KT_rd6_0793,1.517443,-1.9069042,-1.4791954,-0.0066080093
HEEH_KT_rd6_0793,-0.68953764,-1.9098907,-3.6861758,-0.00959444
HEEH_KT_rd6_0793,1.4952921,-1.9119968,-1.5013462,-0.01170063
HEEH_KT_rd6_0793,0.8828154,-1.9233627,-2.113823,-0.02306652
HEEH_KT_rd6_0793,1.7064272,-1.9421468,-1.2902111,-0.041850567
HEEH_KT_rd6_0793,0.54526144,-1.8956676,-2.451377,0.0046286583
HEEH_KT_rd6_0793,1.9469349,-1.9121909,-1.0497034,-0.011894703
HEEH_KT_rd6_0793,1.6856645,-1.9199572,-1.3109738,-0.01966095
