protein,deltaG,pred_deltaG,ddG,pred_ddG
2LQK,1.4707928,-4.7545304,-0.25131893,-0.3149438
2LQK,1.0008813,-4.8092737,-0.7212304,-0.36968708
2LQK,2.1667113,-4.792627,0.44459963,-0.35304022
2LQK,1.5780089,-4.5720587,-0.14410281,-0.13247204
2LQK,1.3638812,-4.6165543,-0.35823047,-0.17696762
2LQK,1.8299971,-4.6610594,0.10788536,-0.22147274
2LQK,1.3310478,-4.557883,-0.39106393,-0.11829615
2LQK,1.4546661,-4.59568,-0.26744556,-0.1560936
2LQK,1.5427632,-4.686653,-0.17934847,-0.2470665
2LQK,1.5705103,-5.64785,-0.15160143,-1.2082634
2LQK,1.816298,-4.16152,0.094186306,0.27806664
2LQK,1.5079604,-4.910673,-0.21415126,-0.4710865
2LQK,1.3633502,-4.841737,-0.35876155,-0.40215015
2LQK,1.0321474,-5.222411,-0.6899643,-0.7828245
2LQK,0.9050368,-4.9643936,-0.8170749,-0.524807
2LQK,0.528298,-5.593966,-1.1938137,-1.1543794
2LQK,1.8018892,-4.759761,0.07977748,-0.32017422
2LQK,1.9515133,-4.873302,0.22940159,-0.43371534
2LQK,1.7140527,-4.708865,-0.008059025,-0.26927853
2LQK,1.2074634,-5.2421384,-0.5146483,-0.80255175
2LQK,1.7762965,-4.735804,0.054184794,-0.29621744
2LQK,0.2945799,-5.7949204,-1.4275318,-1.3553338
2LQK,1.6835713,-4.5197306,-0.038540363,-0.08014393
2LQK,1.8225092,-3.9752502,0.10039747,0.4643364
2LQK,2.2316039,-3.9097335,0.50949216,0.5298531
2LQK,2.315026,-3.5591416,0.59291434,0.880445
2LQK,0.69068545,-4.6012063,-1.0314262,-0.16161966
2LQK,1.1956509,-4.5575194,-0.52646077,-0.1179328
2LQK,1.3362123,-4.532551,-0.38589942,-0.09296417
2LQK,1.7923118,-3.8985953,0.070200086,0.5409913
2LQK,-0.5232397,-6.056528,-2.2453513,-1.6169415
2LQK,-0.27498165,-5.6051073,-1.9970933,-1.1655207
2LQK,-0.29759508,-5.5864773,-2.0197067,-1.1468906
2LQK,-0.3263381,-5.868385,-2.0484498,-1.4287982
2LQK,-0.86730343,-6.1795874,-2.589415,-1.7400007
2LQK,-0.62244695,-6.3951697,-2.3445587,-1.9555831
2LQK,0.5481163,-6.32964,-1.1739954,-1.8900533
2LQK,-0.071939595,-5.6444297,-1.7940513,-1.204843
2LQK,0.07147458,-5.5999184,-1.6506371,-1.1603317
2LQK,-0.26361367,-4.9683995,-1.9857254,-0.5288129
2LQK,0.12864712,-5.3300986,-1.5934646,-0.890512
2LQK,0.039276972,-5.207584,-1.6828347,-0.76799726
2LQK,0.8708488,-5.0605507,-0.8512629,-0.62096405
2LQK,0.86941165,-5.4452543,-0.85270005,-1.0056677
2LQK,1.2060267,-5.0207047,-0.516085,-0.5811181
2LQK,-0.06892002,-6.065255,-1.7910317,-1.6256685
2LQK,-0.34639966,-5.9086857,-2.0685115,-1.469099
2LQK,-0.23867753,-6.5272803,-1.9607892,-2.0876937
2LQK,1.3292805,-6.2170863,-0.3928312,-1.7774997
2LQK,0.60623795,-6.172525,-1.1158738,-1.7329383
2LQK,0.39214844,-5.951927,-1.3299632,-1.5123405
2LQK,-0.091605015,-6.6174383,-1.8137168,-2.1778517
2LQK,0.9826112,-5.53123,-0.7395005,-1.0916433
2LQK,0.10263949,-5.656277,-1.6194723,-1.2166905
2LQK,0.5349985,-6.0333033,-1.1871133,-1.5937166
2LQK,0.20932558,-6.11299,-1.5127861,-1.6734033
2LQK,1.3625488,-5.9178905,-0.35956287,-1.4783039
2LQK,-0.06298153,-5.90924,-1.7850932,-1.4696531
2LQK,-0.29420725,-6.155205,-2.016319,-1.7156181
2LQK,1.5205171,-5.1916943,-0.20159459,-0.7521076
2LQK,1.3936521,-4.594622,-0.32845962,-0.1550355
2LQK,1.1553245,-5.0762053,-0.56678724,-0.6366186
2LQK,0.9510958,-5.4295273,-0.7710159,-0.98994064
2LQK,1.5889959,-5.073124,-0.13311577,-0.6335373
2LQK,0.33766517,-5.6819577,-1.3844465,-1.2423711
2LQK,1.7203134,-4.1670165,-0.0017982721,0.27257013
2LQK,1.288578,-4.389326,-0.43353367,0.050260544
2LQK,1.2755928,-4.934026,-0.4465189,-0.49443913
2LQK,1.3884958,-5.021184,-0.3336159,-0.5815973
2LQK,0.049775477,-5.8833075,-1.6723362,-1.4437208
2LQK,1.80656,-4.777443,0.08444834,-0.3378563
2LQK,2.1763132,-4.655711,0.45420146,-0.21612453
2LQK,1.9474957,-4.3223953,0.225384,0.117191315
2LQK,2.0959811,-4.4923587,0.37386942,-0.052772045
2LQK,2.4354486,-4.2135577,0.71333694,0.22602892
2LQK,1.8583636,-4.8101263,0.13625193,-0.37053967
2LQK,1.772361,-4.8497047,0.05024934,-0.4101181
2LQK,1.0448396,-5.383048,-0.6772721,-0.9434614
2LQK,1.9321804,-3.6810331,0.2100687,0.7585535
2LQK,-0.5264574,-7.473978,-2.248569,-3.0343914
2LQK,0.18637307,-6.436706,-1.5357386,-1.9971194
2LQK,0.10252851,-5.9723306,-1.6195831,-1.5327439
2LQK,0.7446927,-5.1781454,-0.977419,-0.73855877
2LQK,-0.34048435,-6.8935833,-2.062596,-2.4539967
2LQK,1.2187868,-6.788635,-0.50332487,-2.3490481
2LQK,0.3888712,-6.535485,-1.3332405,-2.0958982
2LQK,1.1862942,-8.321552,-0.5358175,-3.8819656
2LQK,0.76569855,-5.365839,-0.95641315,-0.92625237
2LQK,0.7373795,-5.7523746,-0.9847322,-1.312788
2LQK,1.1852411,-5.7053375,-0.5368706,-1.2657509
2LQK,0.8116371,-6.3528357,-0.9104746,-1.913249
2LQK,1.2313573,-5.702838,-0.49075437,-1.2632513
2LQK,0.4037503,-6.4196844,-1.3183614,-1.9800978
2LQK,0.66242754,-5.767403,-1.0596842,-1.3278165
2LQK,0.37748957,-5.9539824,-1.3446221,-1.5143957
2LQK,1.0462083,-5.8904514,-0.67590344,-1.4508648
2LQK,0.89331454,-6.2173004,-0.82879716,-1.7777138
2LQK,0.4570195,-6.1541505,-1.2650921,-1.7145638
2LQK,1.2429042,-5.306991,-0.47920752,-0.86740446
2LQK,1.1426253,-4.8672476,-0.57948637,-0.42766094
2LQK,1.8396373,-4.3673863,0.11752558,0.0722003
2LQK,1.9267675,-4.874333,0.20465577,-0.43474627
2LQK,2.0898268,-4.675525,0.36771512,-0.23593855
2LQK,1.9580789,-4.5862904,0.23596716,-0.14670372
2LQK,1.7676655,-4.764552,0.045553803,-0.32496548
2LQK,0.75996184,-6.099142,-0.96214986,-1.6595554
2LQK,-0.18383662,-4.531122,-1.9059483,-0.09153557
2LQK,-0.78662634,-5.43646,-2.508738,-0.9968734
2LQK,-0.4328486,-5.486314,-2.1549604,-1.0467272
2LQK,1.2013903,-4.3532634,-0.52072144,0.08632326
2LQK,0.7909258,-4.066657,-0.9311859,0.37292957
2LQK,0.68994033,-4.1624236,-1.0321714,0.27716303
2LQK,0.9176703,-3.9124055,-0.8044414,0.52718115
2LQK,1.0966698,-4.9897914,-0.6254419,-0.55020475
2LQK,1.0719132,-3.7607727,-0.65019846,0.67881393
2LQK,0.9988414,-7.4797306,-0.7232703,-3.040144
2LQK,1.179244,-3.3141918,-0.54286766,1.1253948
2LQK,1.1019533,-4.866597,-0.62015843,-0.42701054
2LQK,1.3045129,-4.6192007,-0.41759884,-0.17961407
2LQK,0.7993511,-5.0006704,-0.9227606,-0.5610838
2LQK,1.5119673,-4.501528,-0.2101444,-0.061941147
2LQK,1.048395,-4.9319534,-0.67371666,-0.4923668
2LQK,1.0863105,-4.676016,-0.6358012,-0.23642921
2LQK,1.0610034,-4.476376,-0.66110826,-0.036789417
2LQK,0.6361108,-4.4971128,-1.0860009,-0.05752611
2LQK,1.0950369,-4.5764947,-0.62707484,-0.13690805
2LQK,1.2752886,-4.3664203,-0.44682312,0.07316637
2LQK,0.579023,-4.171189,-1.1430887,0.2683978
2LQK,1.3471769,-4.396179,-0.3749348,0.04340744
2LQK,1.2584887,-4.196942,-0.46362305,0.24264479
2LQK,1.0932369,-4.398596,-0.6288748,0.04099083
2LQK,1.0588622,-4.2976494,-0.6632495,0.14193726
2LQK,1.9322059,-3.5854647,0.21009421,0.8541219
2LQK,1.6732383,-4.068383,-0.048873425,0.37120342
2LQK,1.5409579,-3.9603162,-0.18115377,0.47927046
2LQK,2.1379352,-3.343032,0.41582346,1.0965548
2LQK,0.896861,-3.8086488,-0.8252507,0.6309378
2LQK,0.8537325,-3.403329,-0.8683792,1.0362577
2LQK,1.2921253,-3.6717343,-0.42998636,0.7678523
2LQK,1.3632851,-4.0203104,-0.35882664,0.41927624
2LQK,0.73906034,-3.3198225,-0.98305136,1.1197641
2LQK,1.3425136,-3.6558053,-0.37959814,0.7837813
2LQK,1.3487034,-3.8618007,-0.37340832,0.57778597
2LQK,1.0372645,-4.080909,-0.68484724,0.35867786
2LQK,0.99564236,-3.8640316,-0.72646934,0.5755551
2LQK,0.93821245,-3.873011,-0.78389925,0.5665755
2LQK,2.1666913,-3.4032638,0.4445796,1.0363228
2LQK,1.1957194,-4.2262454,-0.52639234,0.21334124
2LQK,1.2108871,-4.094563,-0.5112246,0.34502363
2LQK,0.7341918,-4.0239153,-0.9879199,0.41567135
2LQK,0.8189566,-3.9099646,-0.9031551,0.5296221
2LQK,1.3994493,-3.4882712,-0.32266235,0.9513154
2LQK,1.445729,-3.7345562,-0.27638268,0.70503044
2LQK,1.5071952,-3.9477355,-0.21491647,0.4918511
2LQK,2.0032773,-2.824344,0.2811656,1.6152427
2LQK,-0.41271374,-5.4665356,-2.1348255,-1.0269489
2LQK,-0.39305577,-5.3966084,-2.1151674,-0.9570217
2LQK,1.1602337,-5.2288656,-0.56187797,-0.789279
2LQK,0.45356467,-5.422541,-1.268547,-0.9829545
2LQK,-0.3230074,-5.7588015,-2.045119,-1.3192148
2LQK,1.6601859,-5.3369217,-0.06192577,-0.89733505
2LQK,1.047267,-4.994405,-0.67484474,-0.55481815
2LQK,-0.7088977,-5.3933997,-2.4310093,-0.9538131
2LQK,0.44778183,-5.113528,-1.2743299,-0.67394114
2LQK,1.7032523,-4.870375,-0.018859386,-0.43078852
2LQK,1.619379,-4.8703017,-0.10273266,-0.43071508
2LQK,1.6267332,-4.622869,-0.09537852,-0.18328238
2LQK,-0.8770847,-6.5029407,-2.5991964,-2.063354
2LQK,0.31993076,-6.3772264,-1.4021809,-1.9376397
2LQK,0.13757469,-6.365384,-1.584537,-1.9257975
2LQK,-0.6809784,-6.4644423,-2.40309,-2.0248556
2LQK,0.17559747,-6.0764904,-1.5465143,-1.6369038
2LQK,-0.25573897,-6.1018057,-1.9778507,-1.662219
2LQK,-0.6745585,-6.220804,-2.3966703,-1.7812176
2LQK,0.71123767,-5.978948,-1.010874,-1.5393615
2LQK,0.18941577,-5.937506,-1.5326959,-1.4979196
2LQK,0.44374174,-5.948451,-1.2783699,-1.5088644
2LQK,2.2521253,-5.2467585,0.53001356,-0.8071718
2LQK,1.5817238,-5.828267,-0.1403879,-1.3886805
2LQK,1.4745954,-5.4701967,-0.24751627,-1.0306101
2LQK,1.1915023,-6.270902,-0.53060937,-1.8313155
2LQK,1.5647402,-5.5926967,-0.15737152,-1.15311
2LQK,0.91595954,-6.1527424,-0.80615216,-1.7131557
2LQK,1.3724262,-5.707035,-0.34968555,-1.2674484
2LQK,1.0459716,-5.702677,-0.67614007,-1.2630901
2LQK,1.1222241,-5.5920515,-0.5998876,-1.1524649
2LQK,0.9838894,-6.0015197,-0.7382223,-1.561933
2LQK,1.390279,-5.591708,-0.33183265,-1.1521215
2LQK,0.5200997,-6.419082,-1.2020121,-1.9794955
2LQK,1.5948694,-4.94999,-0.12724233,-0.51040316
2LQK,2.064991,-4.6083584,0.3428793,-0.16877174
2LQK,1.7126297,-4.173654,-0.009482026,0.26593256
2LQK,1.6775662,-4.69994,-0.04454553,-0.26035357
2LQK,2.101868,-5.060895,0.3797562,-0.6213083
2LQK,1.9191815,-4.669259,0.19706976,-0.22967243
2LQK,1.034053,-5.4304485,-0.68805873,-0.9908619
2LQK,1.0959972,-6.981228,-0.6261145,-2.5416412
2LQK,-0.7558286,-6.171073,-2.4779403,-1.7314863
2LQK,-0.2810321,-6.1921506,-2.0031438,-1.752564
2LQK,0.08090935,-5.983841,-1.6412023,-1.5442543
2LQK,0.28880057,-4.747751,-1.4333111,-0.3081646
2LQK,0.41570166,-5.37246,-1.3064101,-0.93287325
2LQK,0.2813074,-5.5899487,-1.4408042,-1.150362
2LQK,-0.17470571,-6.137606,-1.8968174,-1.6980195
2LQK,0.7609517,-5.396648,-0.96116,-0.9570613
2LQK,1.2555909,-5.093147,-0.4665208,-0.65356016
2LQK,0.66954046,-5.0841975,-1.0525713,-0.6446109
2LQK,1.2619277,-4.8068705,-0.46018398,-0.36728382
2LQK,0.9321419,-5.7860594,-0.7899698,-1.3464727
2LQK,-0.54605126,-5.8462696,-2.268163,-1.406683
2LQK,0.95150185,-4.8473783,-0.77060986,-0.4077916
2LQK,0.9764938,-4.699987,-0.7456179,-0.2604003
2LQK,1.6387365,-4.217288,-0.083375216,0.22229862
2LQK,1.7069455,-4.6512265,-0.015166163,-0.21163988
2LQK,1.7487808,-4.7022643,0.026669145,-0.26267767
2LQK,1.5902736,-4.7281733,-0.13183808,-0.28858662
2LQK,1.4466316,-4.755395,-0.27548015,-0.3158083
2LQK,0.58932894,-6.179523,-1.1327827,-1.7399364
2LQK,1.2848371,-5.8745837,-0.43727458,-1.4349971
2LQK,2.350295,-3.8163567,0.62818336,0.62323
2LQK,0.7020908,-5.0565014,-1.020021,-0.61691475
2LQK,0.7166558,-5.7459,-1.005456,-1.3063135
2LQK,0.91140395,-5.4060955,-0.81070775,-0.96650887
2LQK,1.3787408,-4.3696237,-0.3433709,0.06996298
2LQK,1.192867,-4.9748125,-0.52924466,-0.53522587
2LQK,1.2628037,-5.1415944,-0.45930803,-0.7020078
2LQK,1.2129747,-4.519217,-0.50913703,-0.079630375
2LQK,0.25345218,-5.8016353,-1.4686595,-1.3620486
2LQK,1.72022,-4.028394,-0.0018917322,0.41119242
2LQK,1.5323668,-4.2156243,-0.18974495,0.2239623
2LQK,1.8567575,-3.6426373,0.13464582,0.7969494
2LQK,1.6793591,-4.423591,-0.042752624,0.015995502
2LQK,0.89784175,-5.4287486,-0.82426995,-0.98916197
2LQK,1.86562,-3.7671983,0.14350832,0.6723883
2LQK,1.5181983,-3.164421,-0.20391345,1.2751656
2LQK,1.9656357,-3.4374576,0.24352396,1.0021291
2LQK,1.8545048,-3.1995535,0.13239312,1.2400331
2LQK,1.2738148,-4.1743226,-0.4482969,0.26526403
2LQK,1.3152287,-4.2651763,-0.406883,0.17441034
2LQK,1.4702678,-4.3731246,-0.25184393,0.06646204
2LQK,1.6746935,-3.6643586,-0.047418237,0.775228
2LQK,1.097464,-4.749702,-0.62464774,-0.31011534
2LQK,0.7770805,-4.663411,-0.9450312,-0.2238245
2LQK,1.0789596,-5.251651,-0.6431521,-0.8120642
2LQK,0.95583606,-5.0016594,-0.76627564,-0.56207275
2LQK,0.53277266,-5.2966547,-1.189339,-0.85706806
2LQK,1.8045377,-4.638794,0.08242595,-0.1992073
2LQK,1.5188558,-4.712263,-0.20325589,-0.27267647
2LQK,1.0009735,-5.22186,-0.72113824,-0.7822733
2LQK,1.2428436,-4.834835,-0.47926807,-0.3952484
2LQK,1.5877739,-4.7456594,-0.13433778,-0.3060727
2LQK,1.4420615,-4.6144304,-0.28005016,-0.17484379
2LQK,1.4320973,-4.5895834,-0.2900144,-0.14999676
2LQK,0.8419915,-4.9746,-0.8801202,-0.5350132
2LQK,0.45687407,-4.918277,-1.2652376,-0.47869015
2LQK,0.23552069,-4.1588273,-1.486591,0.28075933
2LQK,0.6679453,-4.346295,-1.0541663,0.09329176
2LQK,1.0298802,-4.2727575,-0.69223154,0.16682911
2LQK,1.8073338,-4.4475694,0.085222125,-0.007982731
2LQK,-0.025767306,-6.438999,-1.747879,-1.9994125
2LQK,-0.93688035,-6.241553,-2.658992,-1.8019662
2LQK,-0.5976771,-6.145763,-2.319789,-1.7061763
2LQK,-0.1356299,-6.1153674,-1.8577416,-1.6757808
2LQK,0.8417432,-6.1591573,-0.88036853,-1.7195706
2LQK,1.3700085,-6.5349655,-0.35210323,-2.0953789
2LQK,0.74750817,-5.332403,-0.97460353,-0.89281654
2LQK,0.9100778,-4.793842,-0.8120339,-0.3542552
2LQK,1.1484739,-4.944892,-0.57363784,-0.5053053
2LQK,0.29106444,-5.5506907,-1.4310472,-1.111104
2LQK,1.0404488,-5.2483053,-0.6816629,-0.8087187
2LQK,0.958712,-4.917198,-0.7633997,-0.47761154
2LQK,0.7467925,-5.5751333,-0.9753192,-1.1355467
2LQK,1.6739316,-4.57185,-0.048180103,-0.13226318
2LQK,1.6711383,-4.1509256,-0.050973415,0.288661
2LQK,0.80820215,-5.147352,-0.91390955,-0.7077656
2LQK,1.6930401,-4.4897256,-0.02907157,-0.05013895
2LQK,0.73993814,-4.762446,-0.98217356,-0.3228593
2LQK,1.9023931,-4.5647917,0.1802814,-0.12520504
2LQK,1.774952,-4.388359,0.052840352,0.05122757
2LQK,2.0009215,-4.206692,0.2788098,0.23289442
2LQK,1.6012632,-4.4841895,-0.12084854,-0.04460287
2LQK,0.81797755,-4.6048365,-0.90413415,-0.16524982
2LQK,2.0654962,-3.903751,0.3433845,0.53583574
2LQK,2.2470808,-3.7900076,0.5249691,0.64957905
2LQK,2.3245203,-3.8981044,0.60240865,0.5414822
2LQK,2.3549404,-3.6654515,0.6328287,0.7741351
2LQK,1.7976637,-3.423807,0.07555199,1.0157797
2LQK,2.0538814,-3.5612445,0.3317697,0.87834215
2LQK,2.1979766,-3.5170083,0.4758649,0.92257833
2LQK,-0.5832392,-6.389084,-2.3053508,-1.9494972
2LQK,2.1787515,-3.6395001,0.45663977,0.8000865
2LQK,1.4594433,-4.417276,-0.26266837,0.022310734
2LQK,1.6419265,-5.0463476,-0.080185175,-0.606761
2LQK,1.735507,-4.55827,0.013395309,-0.11868334
2LQK,0.945243,-5.517512,-0.7768687,-1.0779252
2LQK,1.6173873,-4.3343062,-0.10472441,0.1052804
2LQK,1.5963576,-4.379679,-0.12575412,0.059907436
2LQK,1.775357,-4.2205386,0.053245306,0.21904802
2LQK,1.3692313,-4.642534,-0.35288036,-0.20294714
2LQK,1.0916268,-4.605992,-0.63048494,-0.1664052
2LQK,0.37013838,-5.324276,-1.3519733,-0.88468933
2LQK,2.120187,-3.8577838,0.39807534,0.58180285
2LQK,1.984064,-3.829146,0.26195228,0.61044073
2LQK,1.8637924,-3.9001207,0.14168072,0.5394659
2LQK,2.1348991,-3.7023525,0.41278744,0.7372341
2LQK,2.1977615,-3.609415,0.47564983,0.8301716
2LQK,2.2743192,-3.8313751,0.55220747,0.6082115
2LQK,2.1673028,-3.7210026,0.44519114,0.71858406
2LQK,0.31224862,-5.309534,-1.4098631,-0.86994743
2LQK,2.2160919,-3.373692,0.49398017,1.0658946
2LQK,0.9127655,-4.5528746,-0.8093462,-0.113287926
2LQK,0.31746075,-4.2593975,-1.4046509,0.18018913
2LQK,1.0728996,-4.9883065,-0.6492121,-0.5487199
2LQK,1.1316398,-4.2470846,-0.59047186,0.19250202
2LQK,0.21625732,-4.812442,-1.5058544,-0.3728552
2LQK,1.3518221,-4.471065,-0.37028956,-0.031478405
2LQK,1.0100179,-4.288945,-0.71209383,0.15064144
2LQK,0.9003428,-4.538578,-0.8217689,-0.098991394
2LQK,0.8222962,-4.388843,-0.8998155,0.05074358
2LQK,1.1642108,-4.514699,-0.5579009,-0.07511234
2LQK,1.8056544,-4.3917165,0.083542705,0.04787016
2LQK,1.8952721,-4.2403746,0.17316043,0.19921207
2LQK,1.6895908,-3.9113803,-0.03252089,0.52820635
2LQK,1.9278853,-4.1231976,0.20577359,0.31638908
2LQK,1.7800663,-3.7696161,0.05795455,0.6699705
2LQK,1.6432906,-3.673296,-0.07882106,0.76629066
2LQK,2.0044727,-4.1506057,0.28236103,0.28898096
2LQK,2.1604338,-3.468741,0.43832207,0.9708457
2LQK,1.5377132,-4.512533,-0.18439853,-0.07294655
2LQK,1.6757712,-4.3647184,-0.046340466,0.0748682
2LQK,1.7211988,-4.5270042,-0.00091290474,-0.0874176
2LQK,1.252416,-4.5385866,-0.4696957,-0.09899998
2LQK,1.4733052,-4.5475698,-0.24880648,-0.10798311
2LQK,1.7677515,-4.5815077,0.045639753,-0.14192104
2LQK,1.7233186,-4.6802664,0.0012068748,-0.24067974
2LQK,2.1543767,-4.124837,0.43226504,0.31474972
2LQK,1.3277477,-4.640462,-0.394364,-0.20087528
2LQK,0.5639765,-5.1749835,-1.1581352,-0.73539686
2LQK,1.9703016,-3.9047108,0.24818993,0.53487587
2LQK,1.8654886,-3.9141874,0.14337695,0.5253992
2LQK,1.9297603,-4.000045,0.20764863,0.43954182
2LQK,1.9926989,-3.7924628,0.2705872,0.6471238
2LQK,2.2841232,-4.0408034,0.5620115,0.3987832
2LQK,1.7665213,-4.0588098,0.044409633,0.38077688
2LQK,1.8631126,-3.9596229,0.14100087,0.47996378
2LQK,0.8686544,-5.2163186,-0.85345733,-0.77673197
2LQK,1.983095,-3.5029645,0.26098335,0.93662214
2LQK,1.1684465,-5.0553875,-0.55366516,-0.61580086
2LQK,1.356705,-4.6079316,-0.36540675,-0.16834497
2LQK,0.9863503,-5.0854955,-0.7357614,-0.64590883
2LQK,1.3339865,-4.898734,-0.38812518,-0.45914745
2LQK,1.2659664,-4.8074207,-0.4561453,-0.3678341
2LQK,0.99747616,-4.8868423,-0.72463554,-0.4472556
2LQK,1.4264792,-4.9389205,-0.29563248,-0.49933386
2LQK,1.2125486,-5.09059,-0.5095631,-0.65100336
2LQK,1.0407212,-4.945096,-0.6813905,-0.5055094
2LQK,0.83579594,-4.8174634,-0.88631576,-0.37787676
2LQK,0.6409975,-5.057156,-1.0811142,-0.61756945
2LQK,1.2877638,-4.9106035,-0.43434787,-0.47101688
2LQK,1.300947,-4.6198444,-0.42116475,-0.1802578
2LQK,1.6259811,-4.315481,-0.09613061,0.12410545
2LQK,1.4854226,-4.639148,-0.23668909,-0.1995616
2LQK,1.4616283,-4.7247257,-0.26048338,-0.28513908
2LQK,1.673845,-4.5427065,-0.04826665,-0.10311985
2LQK,0.41014796,-5.559813,-1.3119638,-1.1202264
2LQK,1.6321843,-4.294034,-0.089927435,0.14555264
2LQK,1.8845624,-4.2895517,0.16245067,0.1500349
2LQK,1.7676569,-4.1274033,0.04554522,0.31218338
2LQK,2.0716689,-3.885983,0.34955716,0.55360365
2LQK,1.8846846,-4.22002,0.16257286,0.21956682
2LQK,2.0315776,-3.8059864,0.3094659,0.63360023
2LQK,1.8255484,-4.2188253,0.10343671,0.2207613
2LQK,1.841716,-4.3632135,0.11960435,0.0763731
2LQK,1.0027392,-4.9078207,-0.7193725,-0.46823406
2LQK,1.7979056,-4.1167,0.07579386,0.32288647
2LQK,2.0438385,-4.4069114,0.3217268,0.032675266
2LQK,1.8801908,-4.110169,0.15807915,0.3294177
2LQK,1.8823663,-3.9905856,0.1602546,0.44900107
2LQK,1.177224,-4.9912233,-0.54488766,-0.5516367
2LQK,0.65501165,-4.892231,-1.0671,-0.45264435
2LQK,1.3978628,-4.093464,-0.3242489,0.34612274
2LQK,1.4294025,-4.371429,-0.29270923,0.06815767
2LQK,1.5966587,-3.883243,-0.125453,0.55634356
2LQK,2.2917557,-3.4170098,0.569644,1.0225768
2LQK,-0.30391243,-5.4888372,-2.026024,-1.0492506
2LQK,-0.5607094,-5.7898126,-2.2828212,-1.3502259
2LQK,0.55775195,-5.200467,-1.1643598,-0.7608805
2LQK,0.051001024,-5.2372046,-1.6711106,-0.7976179
2LQK,0.20120677,-5.4930124,-1.5209049,-1.0534258
2LQK,0.60282254,-5.4019685,-1.1192892,-0.96238184
2LQK,0.15599388,-5.525995,-1.5661178,-1.0864081
2LQK,-0.29631522,-5.697021,-2.018427,-1.2574344
2LQK,0.20450813,-5.4736753,-1.5176036,-1.0340886
2LQK,-0.524509,-5.5854883,-2.2466207,-1.1459017
